district,headquarter,latitude,longitude,population,infected,dead,recovered,vaccinated
Alipurduar,Alipurduar,26.51635,89.53305,1700000,15542,102,15384,1185187
Bankura,Bankura,23.23476,87.06715,3596292,36067,273,35639,2442071
Birbhum,Suri,23.90365,87.52778,3502387,40968,286,40582,2708876
Cooch Behar,Cooch Behar,26.31963,89.45455,2822780,29151,97,28908,1654396
Dakshin Dinajpur,Balurghat,25.23981,88.78377,1670931,17722,169,17407,1295759
Darjeeling,Darjeeling,27.03944,88.2638,1842034,56834,537,55982,1856900
Hooghly,Chinsura,22.93357,88.37154,5520389,85494,983,83877,4018032
Howrah,Howrah,22.59632,88.25609,4841638,97945,1522,95845,3588615
Jalpaiguri,Jalpaiguri,26.52418,88.71982,3869675,41810,566,41061,1350429
Jhargram,Jhargram,22.44972,86.99701,1136548,12092,27,11999,835000
Kalimpong,Kalimpong,27.06701,88.47009,251642,7007,54,6902,288999
Kolkata,Kolkata,22.57054,88.37125,4486679,319683,5113,312819,7468074
Malda,English Bazar,25.01094,88.14054,3997970,33311,186,33035,2245462
Murshidabad,Baharampur,24.10043,88.24071,7102430,33921,327,33544,3862534
Nadia,Krishnanagar,23.38938,88.48619,5168488,72839,846,71538,3092197
North 24 Parganas,Barasat,22.72118,88.48157,10082852,327639,4789,321610,8471454
Paschim Bardhaman,Asansol,23.68433,86.97939,2882031,57467,355,56969,2211327
Paschim Medinipur,Medinipur,22.422,87.32904,5094238,53289,506,52509,3045616
Purba Bardhaman,Bardhaman,23.24072,87.86733,4835532,41752,195,41310,2982158
Purba Medinipur,Tamluk,22.29108,87.92325,4417377,62947,396,62348,4638539
Purulia,Purulia,23.33299,86.36696,2927965,19389,113,19254,1832529
South 24 Parganas,Alipore,22.52663,88.3351,8153176,100109,1326,98241,5911394
Uttar Dinajpur,Raiganj,24.49115,89.50936,3000849,19769,236,19489,1523757
